employee_id,department,job_level,location,employment_type,fte_percentage,tenure_years,time_in_current_role_years,performance_rating,engagement_score,base_salary_monthly,bonus_target_pct,turnover_risk_score,languages,technologies,training_hours_ytd,manager_id,hire_date,last_promotion_date
EMP-10210,Sales,L4,Екатеринбург,Полная занятость,1.0,6.8,6.8,3.94,3.77,322463,0.2,0.188,"['Scala', 'Rust', 'Go']","['Node.js', 'DevOps']",16,EMP-10131,2019-07-04,2019-12-02
EMP-10281,Finance,L3,Екатеринбург,Полная занятость,1.0,9.4,9.4,3.66,3.77,240881,0.2,0.151,['TypeScript'],"['TensorFlow', 'Cloud']",22,EMP-10356,2016-12-10,2018-11-07
EMP-10034,Operations,L1,СПб,Полная занятость,1.0,10.8,1.9,3.97,4.6,165506,0.1,0.15,"['TypeScript', 'Scala', 'C#']","['PostgreSQL', 'Node.js']",26,,2015-07-24,2015-12-13
EMP-10211,HR,L1,СПб,Полная занятость,1.0,5.1,2.0,3.58,4.5,130248,0.0,0.205,['TypeScript'],"['Node.js', 'Cloud', 'dbt']",31,,2021-04-11,2023-06-06
EMP-10094,Finance,L1,СПб,Полная занятость,1.0,2.3,0.6,3.67,4.67,121250,0.0,0.199,"['SQL', 'C#']","['Cloud', 'Spark']",18,,2024-01-03,2024-07-04
EMP-10085,Finance,L3,Удаленно,Полная занятость,1.0,1.6,1.6,4.78,4.54,226409,0.1,0.096,"['SQL', 'Java', 'R']","['Airflow', 'Cloud', 'React']",2,EMP-10256,2024-10-10,2025-01-15
EMP-10330,Sales,L6,Екатеринбург,Частичная,0.5,10.1,0.8,3.0,4.92,397251,0.1,0.143,"['JavaScript', 'C#']","['ML', 'DevOps', 'Cloud', 'Docker']",12,EMP-10098,2016-03-16,2017-06-22
EMP-10095,Sales,L4,Удаленно,Контракт,0.5,0.7,0.7,2.94,4.02,153292,0.1,0.298,"['Go', 'TypeScript']","['Docker', 'Kubernetes']",30,EMP-10126,2025-08-19,2025-08-19
EMP-10267,Finance,L1,Казань,Полная занятость,1.0,3.2,3.2,4.57,3.86,108239,0.1,0.156,"['JavaScript', 'SQL']","['PostgreSQL', 'DevOps', 'Spark']",26,,2023-02-18,2023-11-09
EMP-10127,Finance,L3,Удаленно,Полная занятость,1.0,0.6,0.6,3.92,3.91,206774,0.25,0.193,"['R', 'Rust']","['Kubernetes', 'Security', 'Data Engineering']",23,EMP-10059,2025-09-12,2025-09-12
EMP-10010,IT,L3,СПб,Полная занятость,1.0,1.3,0.7,1.81,3.79,234876,0.25,0.245,"['R', 'C#', 'Scala']","['Docker', 'Data Engineering', 'ML']",18,EMP-10253,2025-01-29,2025-02-18
EMP-10362,IT,L5,Москва,Полная занятость,1.0,6.7,4.0,3.44,3.73,693737,0.1,0.146,"['TypeScript', 'Python', 'Scala']","['Airflow', 'Security']",29,EMP-10390,2019-08-29,2020-06-09
EMP-10057,Legal,L3,Удаленно,Полная занятость,1.0,2.8,1.1,2.77,4.12,260125,0.0,0.187,['Python'],"['Spark', 'DevOps', 'Data Engineering', 'FastAPI']",37,EMP-10319,2023-07-11,2024-01-17
EMP-10073,IT,L3,Екатеринбург,Контракт,0.5,11.5,0.8,3.62,4.01,131016,0.25,0.149,['Scala'],"['Spark', 'Kubernetes']",20,EMP-10306,2014-10-20,2016-04-20
EMP-10133,Sales,L4,Удаленно,Полная занятость,1.0,6.1,0.2,4.11,4.57,439513,0.0,0.194,['JavaScript'],"['Cloud', 'dbt', 'React']",21,EMP-10272,2020-03-20,2020-08-17
EMP-10043,Finance,L3,Удаленно,Полная занятость,1.0,3.0,0.7,4.27,2.91,257940,0.1,0.155,"['Java', 'Scala']","['Airflow', 'Spark', 'TensorFlow', 'Node.js']",17,EMP-10338,2023-05-15,2025-07-26
EMP-10279,Operations,L3,Удаленно,Полная занятость,1.0,4.9,4.9,4.39,3.55,235506,0.0,0.173,"['SQL', 'TypeScript']","['React', 'FastAPI', 'ML']",19,EMP-10203,2021-06-26,2022-10-03
EMP-10377,Finance,L1,СПб,Полная занятость,1.0,1.9,1.9,2.11,3.46,113237,0.0,0.15,"['Go', 'SQL']","['Docker', 'TensorFlow', 'FastAPI', 'ML']",23,,2024-06-07,2025-01-19
EMP-10232,Marketing,L2,Удаленно,Полная занятость,1.0,2.4,0.7,3.73,3.96,190862,0.0,0.189,"['Scala', 'C#']","['Spark', 'ML']",21,EMP-10050,2023-12-16,2025-04-25
EMP-10386,Sales,L5,Москва,Частичная,0.75,2.8,0.4,1.17,4.61,439520,0.2,0.168,"['R', 'Rust']","['Node.js', 'React', 'Docker', 'FastAPI']",19,EMP-10059,2023-07-05,2024-03-21
EMP-10078,IT,L1,СПб,Частичная,0.75,1.7,1.3,2.76,4.13,77251,0.15,0.164,"['Rust', 'Go']","['Node.js', 'Kubernetes']",27,,2024-08-03,2025-12-17
