employee_id,department,job_level,location,employment_type,fte_percentage,tenure_years,time_in_current_role_years,performance_rating,engagement_score,base_salary_monthly,bonus_target_pct,turnover_risk_score,languages,technologies,training_hours_ytd,manager_id,hire_date,last_promotion_date
EMP-10184,Sales,L2,Москва,Полная занятость,1.0,4.3,3.4,3.76,3.54,221732,0.25,0.15,"['Java', 'TypeScript', 'Go']","['Cloud', 'Kubernetes', 'dbt', 'Airflow']",22,EMP-10144,2022-01-23,2023-03-31
EMP-10204,IT,L1,Казань,Полная занятость,1.0,0.9,0.9,3.57,4.27,82342,0.1,0.295,"['Go', 'Python']","['Security', 'React', 'Docker']",27,,2025-06-21,2025-06-21
EMP-10284,Sales,L4,СПб,Полная занятость,1.0,8.4,0.9,3.31,4.1,406042,0.0,0.124,['R'],"['React', 'Airflow', 'Data Engineering']",11,EMP-10052,2017-12-08,2020-01-08
EMP-10212,Operations,L2,Москва,Контракт,0.75,0.9,0.9,2.73,2.74,134823,0.2,0.3,['C#'],"['ML', 'Spark', 'FastAPI']",24,EMP-10192,2025-06-02,2025-06-02
EMP-10283,HR,L1,СПб,Полная занятость,1.0,3.9,2.6,4.92,3.93,131352,0.1,0.196,"['SQL', 'Scala', 'Python']","['PostgreSQL', 'React']",13,,2022-06-08,2023-09-19
EMP-10130,IT,L2,Екатеринбург,Полная занятость,1.0,4.2,3.2,3.63,3.37,179906,0.0,0.165,"['TypeScript', 'SQL', 'C#']","['TensorFlow', 'Node.js', 'DevOps', 'Kubernetes']",21,EMP-10236,2022-03-02,2022-09-26
EMP-10039,IT,L4,Казань,Полная занятость,1.0,0.7,0.5,4.53,4.65,237968,0.1,0.253,"['R', 'Scala']","['Cloud', 'Kubernetes', 'PostgreSQL']",24,EMP-10131,2025-08-13,2026-04-23
EMP-10012,IT,L3,Екатеринбург,Частичная,0.5,0.9,0.9,1.62,3.47,94338,0.15,0.225,"['SQL', 'Scala', 'Go']","['Spark', 'React', 'Docker', 'Cloud']",20,EMP-10223,2025-06-06,2025-09-18
EMP-10326,IT,L4,Москва,Полная занятость,1.0,1.3,0.4,4.49,3.63,365979,0.15,0.174,"['SQL', 'TypeScript']","['Airflow', 'DevOps']",23,EMP-10108,2025-01-21,2025-04-06
EMP-10186,Operations,L2,СПб,Полная занятость,1.0,3.4,0.8,3.1,2.96,191933,0.15,0.161,"['Scala', 'Python', 'R']","['DevOps', 'ML', 'Node.js']",26,EMP-10243,2022-12-07,2024-11-28
EMP-10223,IT,L1,Екатеринбург,Полная занятость,1.0,1.6,1.6,2.8,4.01,76910,0.1,0.173,"['Rust', 'Java', 'TypeScript']","['Security', 'DevOps']",16,,2024-09-08,2025-05-16
EMP-10113,Legal,L6,Екатеринбург,Полная занятость,1.0,3.2,1.7,2.94,3.33,783029,0.15,0.116,['Python'],"['ML', 'DevOps']",26,EMP-10122,2023-02-09,2025-03-04
EMP-10180,IT,L4,СПб,Полная занятость,1.0,1.9,0.7,4.29,4.15,312033,0.2,0.195,"['Java', 'JavaScript']","['Cloud', 'DevOps', 'Security']",33,EMP-10316,2024-05-29,2024-12-30
EMP-10328,Operations,L4,Казань,Частичная,0.75,0.0,0.0,4.99,4.5,136152,0.0,0.145,"['SQL', 'Rust', 'Java']","['ML', 'Airflow', 'Cloud']",18,EMP-10151,2026-04-17,2026-04-17
EMP-10300,Marketing,L2,Удаленно,Полная занятость,1.0,3.5,0.4,2.05,4.16,169016,0.1,0.118,['TypeScript'],"['PostgreSQL', 'Airflow', 'Spark']",25,EMP-10376,2022-11-15,2023-02-09
EMP-10118,Sales,L2,Екатеринбург,Полная занятость,1.0,7.3,7.3,4.51,3.12,144785,0.2,0.101,"['Scala', 'Java', 'C#']","['Airflow', 'Data Engineering']",32,EMP-10174,2019-01-04,2019-09-12
EMP-10369,Operations,L2,Удаленно,Частичная,0.5,5.1,3.3,2.97,3.63,100344,0.2,0.174,"['SQL', 'Python', 'Scala']","['Node.js', 'Cloud']",28,EMP-10228,2021-03-11,2021-12-16
EMP-10278,IT,L5,СПб,Полная занятость,1.0,0.7,0.7,4.92,4.56,467006,0.15,0.201,['Java'],"['Node.js', 'ML', 'React']",29,EMP-10082,2025-08-29,2025-10-20
EMP-10385,IT,L4,Казань,Полная занятость,1.0,0.6,0.6,2.35,4.41,249055,0.2,0.199,"['SQL', 'Go', 'Java']","['React', 'FastAPI']",30,EMP-10175,2025-09-30,2025-09-30
EMP-10288,Operations,L3,Москва,Контракт,0.75,2.2,2.2,3.57,4.48,222139,0.1,0.181,['R'],"['Kubernetes', 'Docker', 'dbt']",15,EMP-10391,2024-03-02,2024-03-02
EMP-10363,HR,L2,Екатеринбург,Частичная,0.75,5.9,1.8,2.23,4.13,116268,0.2,0.175,['R'],"['Kubernetes', 'React']",16,EMP-10207,2020-06-18,2020-10-25
EMP-10165,IT,L3,Москва,Полная занятость,1.0,3.3,0.7,4.41,4.52,288143,0.2,0.19,"['TypeScript', 'Scala', 'JavaScript']","['DevOps', 'ML', 'PostgreSQL']",10,EMP-10018,2023-01-21,2023-04-11
EMP-10254,Finance,L1,Казань,Контракт,0.75,1.1,0.5,3.85,3.93,60000,0.25,0.287,"['Python', 'SQL']","['Security', 'Data Engineering']",19,,2025-03-21,2025-03-21
EMP-10137,Sales,L4,Москва,Полная занятость,1.0,1.2,1.2,2.31,3.89,390180,0.25,0.216,"['SQL', 'Scala']","['Kubernetes', 'Airflow']",10,EMP-10284,2025-03-04,2025-05-08
EMP-10155,IT,L5,Казань,Полная занятость,1.0,0.2,0.2,2.72,4.01,351026,0.15,0.322,['Scala'],"['PostgreSQL', 'Data Engineering', 'Node.js', 'ML']",22,EMP-10220,2026-02-07,2026-02-07
EMP-10200,Operations,L3,Москва,Контракт,0.75,4.2,2.4,4.38,3.95,219831,0.25,0.131,"['Go', 'Python']","['DevOps', 'Security']",13,EMP-10309,2022-02-28,2022-06-11
EMP-10198,IT,L2,Москва,Полная занятость,1.0,3.9,0.4,3.45,4.44,193952,0.2,0.198,"['SQL', 'JavaScript', 'Python']","['dbt', 'ML', 'Kubernetes']",14,EMP-10245,2022-05-31,2024-03-09
EMP-10393,Operations,L2,Екатеринбург,Частичная,0.5,2.2,0.7,2.95,4.17,67883,0.15,0.145,['R'],"['Node.js', 'Security']",22,EMP-10345,2024-03-03,2024-08-05
EMP-10003,Finance,L3,Екатеринбург,Полная занятость,1.0,0.7,0.1,3.3,3.89,183804,0.2,0.185,"['Go', 'Python']","['Spark', 'FastAPI', 'ML', 'Node.js']",12,EMP-10175,2025-09-04,2025-09-04
EMP-10205,IT,L4,Москва,Полная занятость,1.0,0.7,0.4,4.12,4.07,355806,0.15,0.256,['Scala'],"['FastAPI', 'Node.js', 'Spark']",22,EMP-10354,2025-09-05,2025-09-05
EMP-10116,Sales,L2,Москва,Полная занятость,1.0,2.9,2.3,3.69,3.79,199799,0.0,0.152,"['C#', 'SQL']","['Airflow', 'Node.js', 'FastAPI']",25,EMP-10042,2023-06-02,2023-06-02
EMP-10235,Marketing,L2,Москва,Полная занятость,1.0,6.1,3.4,4.05,3.06,217308,0.25,0.083,['C#'],"['React', 'Spark', 'Docker']",22,EMP-10049,2020-04-05,2021-03-26
EMP-10238,Sales,L1,Екатеринбург,Полная занятость,1.0,1.5,1.1,2.83,4.07,81915,0.0,0.155,"['Scala', 'TypeScript']","['Kubernetes', 'Spark', 'Node.js', 'ML']",14,,2024-10-18,2024-10-18
EMP-10027,Marketing,L5,Удаленно,Полная занятость,1.0,0.3,0.3,3.01,3.35,465997,0.15,0.179,"['Java', 'Go', 'C#']","['ML', 'React', 'TensorFlow']",29,EMP-10235,2025-12-29,2025-12-29
EMP-10121,HR,L6,Екатеринбург,Полная занятость,1.0,9.5,2.1,3.72,3.7,879839,0.0,0.191,"['TypeScript', 'SQL', 'C#']","['Docker', 'TensorFlow', 'React', 'Kubernetes']",24,EMP-10148,2016-11-13,2017-09-08
EMP-10358,HR,L1,СПб,Контракт,0.75,0.1,0.1,1.47,3.22,72048,0.15,0.238,"['Java', 'TypeScript', 'R']","['Node.js', 'TensorFlow']",23,,2026-04-09,2026-04-09
EMP-10225,HR,L5,Казань,Полная занятость,1.0,2.2,1.3,3.44,4.66,401743,0.0,0.148,"['Go', 'R', 'TypeScript']","['dbt', 'Airflow', 'TensorFlow']",22,EMP-10370,2024-02-14,2026-04-06
EMP-10361,IT,L3,СПб,Полная занятость,1.0,7.6,1.1,4.31,3.76,290389,0.15,0.133,['C#'],"['PostgreSQL', 'Airflow', 'ML']",18,EMP-10367,2018-09-19,2020-02-08
EMP-10379,Finance,L1,СПб,Полная занятость,1.0,0.0,0.0,4.88,3.95,79033,0.15,0.172,"['R', 'Rust', 'JavaScript']","['PostgreSQL', 'Kubernetes', 'Spark']",25,,2026-04-25,2026-04-25
EMP-10351,IT,L2,Москва,Полная занятость,1.0,3.6,0.8,4.63,4.06,202655,0.15,0.164,['JavaScript'],"['PostgreSQL', 'Spark', 'DevOps', 'Data Engineering']",19,EMP-10312,2022-10-02,2022-10-02
EMP-10380,Finance,L5,СПб,Полная занятость,1.0,3.6,3.2,3.35,4.16,581404,0.15,0.247,"['C#', 'Rust']","['DevOps', 'Cloud']",28,EMP-10336,2022-10-13,2023-09-21
EMP-10128,Sales,L2,Москва,Полная занятость,1.0,1.4,1.4,3.9,3.74,194198,0.0,0.17,"['Rust', 'Scala', 'Go']","['DevOps', 'Data Engineering', 'Kubernetes', 'PostgreSQL']",21,EMP-10004,2024-12-04,2026-01-09
EMP-10075,Legal,L2,Москва,Контракт,0.5,0.3,0.3,3.55,3.85,91109,0.25,0.172,"['Go', 'SQL', 'JavaScript']","['Data Engineering', 'ML']",17,EMP-10039,2026-01-11,2026-01-11
EMP-10323,Finance,L2,Казань,Полная занятость,1.0,0.2,0.2,4.54,3.5,115311,0.2,0.29,"['TypeScript', 'JavaScript']","['ML', 'Node.js', 'Kubernetes']",25,EMP-10333,2026-02-14,2026-02-14
EMP-10030,Operations,L1,СПб,Полная занятость,1.0,2.4,0.0,4.36,3.84,121015,0.1,0.163,['Scala'],"['ML', 'Security', 'TensorFlow', 'PostgreSQL']",10,,2023-12-16,2024-11-26
EMP-10084,Sales,L3,Москва,Полная занятость,1.0,4.6,0.3,2.95,3.53,308533,0.25,0.185,"['Go', 'Rust', 'Scala']","['Cloud', 'DevOps']",21,EMP-10123,2021-09-16,2023-08-05
EMP-10390,IT,L2,Москва,Полная занятость,1.0,7.1,4.3,4.26,4.52,178084,0.1,0.123,"['Rust', 'Scala']","['Spark', 'ML', 'Node.js', 'PostgreSQL']",15,EMP-10375,2019-03-31,2019-11-22
EMP-10108,IT,L1,СПб,Частичная,0.5,1.0,1.0,2.94,4.56,60000,0.1,0.227,"['TypeScript', 'Scala']","['Kubernetes', 'PostgreSQL', 'Node.js']",11,,2025-05-13,2025-05-13
EMP-10250,Legal,L3,СПб,Полная занятость,1.0,3.2,1.8,4.87,3.61,256237,0.0,0.183,"['Rust', 'Java', 'R']","['Spark', 'Security']",13,EMP-10210,2023-03-05,2024-11-22
EMP-10297,Sales,L1,СПб,Полная занятость,1.0,8.4,0.4,3.18,3.67,136599,0.15,0.246,['C#'],"['Data Engineering', 'Docker', 'FastAPI', 'Kubernetes']",12,,2017-12-05,2020-07-04
EMP-10134,Marketing,L3,Удаленно,Полная занятость,1.0,1.4,1.4,3.89,4.38,229499,0.1,0.161,"['Java', 'SQL', 'JavaScript']","['Security', 'Data Engineering']",28,EMP-10309,2024-12-14,2025-01-22
EMP-10245,Operations,L2,СПб,Полная занятость,1.0,5.9,5.3,3.2,3.7,192593,0.15,0.17,['C#'],"['ML', 'FastAPI', 'Security', 'Spark']",2,EMP-10253,2020-05-20,2020-07-13
EMP-10185,HR,L5,Екатеринбург,Полная занятость,1.0,0.6,0.6,2.35,4.24,416137,0.15,0.286,['SQL'],"['Kubernetes', 'Docker']",6,EMP-10286,2025-09-24,2026-03-30
EMP-10291,Operations,L3,СПб,Полная занятость,1.0,1.9,1.2,4.86,3.98,251864,0.0,0.14,"['SQL', 'Go']","['Node.js', 'Kubernetes', 'FastAPI', 'Data Engineering']",22,EMP-10126,2024-06-06,2024-11-15
EMP-10045,IT,L5,Казань,Полная занятость,1.0,6.2,6.2,2.49,3.81,512186,0.1,0.148,['C#'],"['FastAPI', 'React', 'PostgreSQL']",24,EMP-10368,2020-02-13,2020-04-25
EMP-10368,IT,L2,СПб,Полная занятость,1.0,0.1,0.1,1.43,4.19,137116,0.0,0.253,['Scala'],"['ML', 'Cloud', 'Docker', 'Node.js']",16,EMP-10193,2026-04-05,2026-04-05
EMP-10066,Marketing,L6,СПб,Полная занятость,1.0,5.1,1.1,4.04,3.75,821425,0.1,0.121,"['Rust', 'R', 'Python']","['Cloud', 'Security', 'Data Engineering', 'Kubernetes']",8,EMP-10157,2021-03-20,2022-01-13
EMP-10086,Operations,L4,Удаленно,Полная занятость,1.0,2.0,0.6,3.95,3.71,380155,0.1,0.19,"['Rust', 'R']","['Data Engineering', 'Airflow', 'dbt']",23,EMP-10197,2024-05-10,2025-10-17
EMP-10243,IT,L5,СПб,Полная занятость,1.0,9.1,1.1,4.81,4.63,666365,0.0,0.128,"['Scala', 'R']","['dbt', 'Kubernetes', 'Cloud']",26,EMP-10046,2017-03-14,2017-04-11
EMP-10187,Marketing,L3,СПб,Полная занятость,1.0,0.8,0.8,4.66,3.37,225218,0.15,0.17,"['TypeScript', 'R', 'JavaScript']","['Kubernetes', 'PostgreSQL']",43,EMP-10304,2025-07-21,2025-07-21
EMP-10160,HR,L4,Москва,Полная занятость,1.0,1.0,1.0,2.7,5.0,385050,0.1,0.202,"['C#', 'Scala']","['Airflow', 'Security', 'DevOps', 'React']",23,EMP-10147,2025-05-12,2025-05-12
EMP-10013,IT,L3,Москва,Контракт,0.75,1.0,0.2,2.97,4.19,191508,0.25,0.249,"['Scala', 'SQL', 'Go']","['TensorFlow', 'React']",25,EMP-10312,2025-05-12,2025-05-12
EMP-10036,IT,L2,Москва,Полная занятость,1.0,2.5,2.5,4.77,3.87,208821,0.15,0.144,['Java'],"['Data Engineering', 'TensorFlow', 'Airflow']",18,EMP-10157,2023-10-22,2024-07-24
EMP-10029,Operations,L1,Удаленно,Полная занятость,1.0,6.0,2.4,3.93,3.5,126415,0.0,0.137,"['Go', 'Scala']","['DevOps', 'React', 'dbt', 'Security']",28,,2020-04-18,2020-06-03
EMP-10171,IT,L1,Екатеринбург,Полная занятость,1.0,0.6,0.0,4.83,4.0,75701,0.2,0.192,"['JavaScript', 'SQL']","['Cloud', 'Security', 'Kubernetes', 'Node.js']",29,,2025-10-09,2025-10-09
EMP-10143,Marketing,L1,Удаленно,Частичная,0.5,1.5,1.4,4.1,3.07,60000,0.1,0.281,"['C#', 'Scala', 'TypeScript']","['DevOps', 'Docker', 'Security', 'ML']",29,,2024-11-06,2024-11-06
EMP-10319,Legal,L2,СПб,Полная занятость,1.0,4.9,1.3,3.01,3.69,211236,0.15,0.142,"['JavaScript', 'R']","['Data Engineering', 'PostgreSQL', 'Docker']",17,EMP-10303,2021-05-22,2021-10-09
EMP-10273,Legal,L1,Москва,Полная занятость,1.0,0.7,0.7,2.3,3.87,94737,0.1,0.2,"['Go', 'JavaScript']","['Node.js', 'TensorFlow']",15,,2025-08-21,2025-08-21
