rank,team_ids,predicted_success,key_drivers,counterfactual,95%_ДИ,economic_benefit_per_proj,annual_economic_benefit
1,"EMP-10295, EMP-10397, EMP-10025",86.6%,skill_coverage (+11%) | senior_ratio (+5%),Оптимальный баланс. Масштабировать без изменений.,[85%; 87%],293659.07,5873181.49
2,"EMP-10295, EMP-10047, EMP-10378, EMP-10057",85.8%,skill_coverage (+13%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[86%; 87%],296600.14,5932002.79
3,"EMP-10105, EMP-10203, EMP-10240, EMP-10338, EMP-10031",85.6%,skill_coverage (+15%) | senior_ratio (+3%),Оптимальный баланс. Масштабировать без изменений.,[85%; 86%],297590.84,5951816.72
4,"EMP-10133, EMP-10079, EMP-10199, EMP-10019, EMP-10248",85.4%,skill_coverage (+13%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[85%; 86%],298379.86,5967597.1
5,"EMP-10226, EMP-10199, EMP-10031, EMP-10338",85.4%,skill_coverage (+14%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[85%; 86%],298439.59,5968791.73
6,"EMP-10306, EMP-10292, EMP-10115, EMP-10248",85.3%,skill_coverage (+13%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[85%; 86%],298779.11,5975582.12
7,"EMP-10203, EMP-10210, EMP-10110, EMP-10312",85.2%,skill_coverage (+13%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[83%; 85%],299190.7,5983814.02
8,"EMP-10133, EMP-10226, EMP-10372, EMP-10006",85.2%,skill_coverage (+13%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[85%; 85%],299381.81,5987636.29
9,"EMP-10221, EMP-10111, EMP-10038, EMP-10031",85.1%,skill_coverage (+13%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[84%; 85%],299470.67,5989413.31
10,"EMP-10047, EMP-10229, EMP-10148, EMP-10079, EMP-10141",85.1%,skill_coverage (+13%) | senior_ratio (+2%),Оптимальный баланс. Масштабировать без изменений.,[84%; 86%],299511.0,5990220.06
